question;a1;a2;a3;a4;ra;image;topic;marked
3) FL 100;A) bedeutet 10.000 ft AMSL;B) bedeutet 10.000 ft AGL;C) bedeutet 10.000 ft über der Druckfläche des ICAO-Standarddrucks von 1013,25 hPa;D) ist die Abkürzung für Fluglage mit mehr als 100° Querneigung;3;0;Luftraumvorschriften und Bezeichnungen allgemein;0
4) Was versteht man unter IFR-Verkehr?;A) Notverkehr;B) Inlandverkehr;C) Sprechverkehr nach internationalen Funk-Regeln;D) Verkehr nach Instrumentenflugregeln (Instrumental Flight Rules);4;0;Luftraumvorschriften und Bezeichnungen allgemein;0
5) Kann ein Gleitschirm oder Hängegleiter nach den Instrumentenflugregeln geflogen werden?;A) Nein;B) Nur mit Kompass, GPS, Funk und Höhenmesser;C) Nur mit Flugsicherungsfreigabe;D) Nur mit Funk;1;0;Luftraumvorschriften und Bezeichnungen allgemein;0
6) Wie nahe darf im kontrollierten Luftraum an die Wolkenbasis herangeflogen werden?;A) Bis 300 m Abstand;B) Bis 100 m Abstand;C) Bis unmittelbar an die Basis;D) Mit Kompass und Höhenmesser auch in die Wolke;1;0;Luftraumvorschriften und Bezeichnungen allgemein;0
7) Unter AIS versteht man:;A) den Alarmdienst;B) das Luftfahrthandbuch;C) den Flugberatungsdienst;D) die Ausweichregeln;3;0;Luftraumvorschriften und Bezeichnungen allgemein;0
8) Auf einem Überlandflug im kontrollierten Luftraum darf ein Gleitschirm oder Hängegleiter;A) bis 300 Fuß an die Wolkenbasis heran fliegen;B) keine Wolken berühren;C) bis 100 m seitlich an Wolken vorbeifliegen;D) bis 300 m an die Wolkenbasis heran fliegen;4;0;Luftraumvorschriften und Bezeichnungen allgemein;0
9) Der Einflug in den Luftraum C ohne Freigabe der Flugsicherung;A) ist eine Ordnungswidrigkeit;B) wird mit einer Freiheitsstrafe geahndet;C) ist eine Straftat;D) ist nur bei Fahrlässigkeit eine Ordnungswidrigkeit;1;0;Luftraumvorschriften und Bezeichnungen allgemein;0
10) Die Lufträume C, D, E sind;A) kontrollierter Luftraum;B) unkontrollierter Luftraum;C) reserviert für IFR-Flüge;D) reserviert für VFR-Flüge;1;0;Luftraumvorschriften und Bezeichnungen allgemein;0
11) Gleitschirme und Hängegleiter dürfen ohne Flugverkehrsfreigabe grundsätzlich nicht einfliegen in;A) eine Kontrollzone;B) den Luftraum G;C) ein Tieffluggebiet;D) ein Fluginformationsgebiet;1;0;Luftraumvorschriften und Bezeichnungen allgemein;0
12) Auf einem Überlandflug im unkontrollierten Luftraum darf ein Gleitschirm oder Hängegleiter;A) unterhalb 1000 ft AGL sowie unterhalb 3000 ft MSL bis zur Basis aufdrehen;B) grundsätzlich bis zu Basis aufdrehen, dies gilt im gesamten unkontrollierten Luftraum G;C) grundsätzlich nur bis 300 m unterhalb der Basis aufdrehen, weil im gesamten unkontrollierten Luftraum G ein vertikaler Wolkenabstand von 300 m einzuhalten ist;D) gar nicht fliegen, Überlandflüge sind nur im kontrollierten Luftraum erlaubt;1;0;Luftraumvorschriften und Bezeichnungen allgemein;0
13) Wie hoch darf man, außerhalb von nicht erlaubten Lufträumen, mit dem Gleitschirm in Österreich fliegen?;A) So hoch, wie die Thermik reicht;B) Bis zum oberen Luftraum bei FL 245 (ca. 7450 m MSL);C) So hoch, bis die jeweilige Obergrenze der für Gleitschirme erlaubten Lufträume G und E an die nicht erlaubten Lufträume C oder D oder eine TMZ grenzen;D) Bis zur Tropopause (ca. 11000 m MSL);3;0;Luftraumvorschriften und Bezeichnungen allgemein;0
1) Im Luftraum G;A) muss nicht mit militärischen Tiefflügen gerechnet werden;B) sind Sichtflüge (VFR-Flüge) erlaubt;C) ist keine Erdsicht erforderlich;D) ist eine Flugverkehrsfreigabe vorgeschrieben;2;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
2) Der Luftraum E;A) ist unkontrollierter Luftraum;B) umfasst nicht die Nahverkehrsbereiche (TMA);C) beginnt spätestens bei 1.700 ft AGL;D) ist kontrollierter Luftraum;4;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
3) Oberhalb von 2.500 ft AGL in Deutschland;A) ist ausschließlich kontrollierter Luftraum;B) dürfen Gleitschirme und Hängegleiter nicht einfliegen;C) befindet sich der unkontrollierte Luftraum;D) befindet sich der obere Luftraum;1;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
4) Außerhalb der für Gleitschirme und Drachen verbotenen Lufträume und Gebiete darf in Deutschland;A) nur im Luftraum G bis maximal 2.500 ft AGL geflogen werden;B) bis FL 100, im Alpenbereich bis FL 130, geflogen werden;C) ohne Höhenbegrenzung nach oben geflogen werden;D) grundsätzlich nicht geflogen werden;2;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
5) Du befindest Dich im Luftraum E auf 3.200 m MSL im deutschen Alpengebiet oder in Österreich. Welche Sichtflugregeln sind einzuhalten?;A) Keine Wolkenberührung, Flugsicht 8 km;B) 1,5 km seitlicher Wolkenabstand, nach oben keine Wolkenberührung, Erdsicht;C) Flugsicht 1,5 km, 300m senkrechter und waagerechter Wolkenabstand;D) Flugsicht 8 km, 300 m vertikaler und 1,5 km horizontaler Wolkenabstand;4;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
6) 1,5 km Flugsicht, dauernde Erdsicht, keine Wolkenberührung sind die Sichtflugregeln;A) für den Luftraum G unterhalb von 3000 ft (900 m) MSL, oberhalb von 3000 ft (900 m) MSL, wenn dabei eine Höhe über Grund (AGL) von 1000 ft (300 m) nicht überschritten wird;B) für den Luftraum C unterhalb von FL 100;C) für den Luftraum D unterhalb von FL 100;D) für den Luftraum E unterhalb von 3000 ft MSL;1;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
7) Welche Mindestflugsicht muss im Luftraum E durch den Piloten eines Gleitschirms oder Hängegleiters eingehalten werden?;A) 800 m;B) 5 km, oberhalb FL 100, 8 km;C) bis zum Boden;D) 8 km;2;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
8) Wie nahe darf im Luftraum G, in einer Höhe von 2.000 m MSL und 500 m AGL, an die Wolkenbasis herangeflogen werden?;A) 1,5 km;B) 800 m;C) Wolke darf nicht berührt werden;D) 1.000 ft;4;0;Luftraumvorschriften G und E, Sichtflugregeln 1;0
1) Im kontrollierten Luftraum E;A) findet ausschließlich IFR-Verkehr statt;B) findet ausschließlich VFR-Verkehr statt;C) mischt sich VFR-Verkehr mit IFR-Verkehr;D) gelten keine anderen Sichtflugregeln als im unkontrollierten Luftraum;3;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
2) Wie lauten die Sichtflugregeln im Luftraum G oberhalb von FL 100 in Österreich?;A) 8 km Flugsicht, horizontaler Wolkenabstand 300 m, vertikaler Wolkenabstand 500 ft;B) 5 km Flugsicht, horizontaler Wolkenabstand 300 m, vertikaler Wolkenabstand 500 ft;C) 8 km Flugsicht, horizontaler Wolkenabstand 1,5 km, Wolken dürfen nicht berührt werden;D) 8 km Flugsicht, horizontaler Wolkenabstand 1,5 km, vertikaler Wolkenabstand 300 m;4;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
3) Soweit nicht anders klassifiziert, ist der Luftraum G in Deutschland unterhalb;A) 2.500 ft MSL;B) 2.500 ft AGL;C) 2.500 m AGL;D) 2.500 m MSL;2;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
4) Die Obergrenze des Luftraumes Klasse G befindet sich in Österreich;A) bei FL 100;B) in unterschiedlicher Höhe;C) 10.000 ft AGL;D) 11.500 ft MSL;2;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
5) Im Luftraum G, oberhalb von 900 m MSL (3000 ft), und einer Flughöhe von mehr als 300 m (1000 ft) über Grund (AGL) gelten folgende Sichtflugregeln:;A) Flugsicht 1,5 km, ständige Erdsicht, frei von Wolken;B) Flugsicht 5 km, horizontaler Wolkenabstand 1,5 km, vertikaler Wolkenabstand 300 m (1000 ft);C) Flugsicht 8 km, horizontaler Wolkenabstand 1,5 km, vertikaler Wolkenabstand 300 m (1000 ft);D) In diesem Bereich des unkontrollierten Luftraums sind keine speziellen Flugsichten vorgeschrieben;2;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
6) Im Luftraum G, oberhalb von 900 m MSL (3000 ft), und einer Flughöhe von weniger als 300 m (1000 ft) über Grund (AGL) gelten folgende Sichtflugregeln:;A) Flugsicht 1,5 km, ständige Erdsicht, frei von Wolken;B) Flugsicht 5 km, horizontaler Wolkenabstand 1,5 km, vertikaler Wolkenabstand 300 m (1000 ft);C) Flugsicht 8 km, horizontaler Wolkenabstand 1,5 km, vertikaler Wolkenabstand 300 m (1000 ft);D) In diesem Bereich des unkontrollierten Luftraums sind keine speziellen Flugsichten vorgeschrieben;1;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
7) Im Luftraum G, unterhalb von 900 m MSL (3000 ft) gelten, unabhängig von der Flughöhe über Grund (AGL) folgende Sichtflugregeln:;A) Flugsicht 1,5 km, ständige Erdsicht, frei von Wolken;B) Flugsicht 5 km, horizontaler Wolkenabstand 1,5 km, vertikaler Wolkenabstand 300 m (1000 ft);C) Flugsicht 8 km, horizontaler Wolkenabstand 1,5 km, vertikaler Wolkenabstand 300 m (1000 ft);D) In diesem Bereich des unkontrollierten Luftraums sind keine speziellen Flugsichten vorgeschrieben;1;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
8) Du hast von Deinem Startplatz 250 m aufgedreht. Welche Sichtflugregeln gelten auf Deiner Flughöhe?;A) Flugsicht 8 km, Wolkenabstand 1.500 m horizontal, 300 m vertikal;B) Flugsicht 5 km, Wolkenabstand 1.500 m horizontal, 300 m vertikal;C) Flugsicht 1,5 km, frei von Wolken, Erdsicht;D) Flugsicht 5 km, frei von Wolken, Erdsicht;3;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
9) Du hast von Deinem Startplatz am Berggipfel (1500 m MSL) 500 m aufgedreht. Welche Sichtflugregeln gelten auf Deiner Flughöhe?;A) Flugsicht 8 km, Wolkenabstand 1.500 m horizontal, 300 m vertikal;B) Flugsicht 5 km, Wolkenabstand 1.500 m horizontal, 300 m vertikal;C) Flugsicht 1,5 km, frei von Wolken, Erdsicht;D) Flugsicht 5 km, frei von Wolken, Erdsicht;2;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
10) Ständige Erdsicht, 1,5 km Flugsicht und frei von Wolken, sind die Sichtflugregeln;A) für den Luftraum E in Deutschland und Österreich;B) für den Luftraum G in Österreich und Deutschland;C) für den Luftraum G unterhalb von 3000 ft (900 m) MSL, oberhalb von 3000 ft (900 m) MSL, wenn dabei eine Höhe über Grund (AGL) von 1000 ft (300 m) nicht überschritten wird;D) für alle Flüge nach Sichtflugregeln;3;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
11) Flugsicht 5 km, horizontaler Wolkenabstand von 1500 Meter, vertikaler Wolkenabstand von 300 Meter sind die Sichtflugregeln;A) für den Luftraum G in Deutschland;B) für den Luftraum G in Österreich;C) für den Luftraum G oberhalb 3000 ft MSL (900 m), wenn gleichzeitig in einer Höhe von mehr als 1000 ft (300 m) über Grund (AGL) geflogen wird und für den Luftraum E bis FL 100;D) nur für den Luftraum E bis FL 100;3;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
12) Flugsicht 8 km, horizontaler Wolkenabstand von 1500 Meter, vertikaler Wolkenabstand von 300 Meter sind die Sichtflugminima;A) für die Lufträume G und E oberhalb von FL 100 in Österreich und für den Luftraum E oberhalb von FL 100 in Deutschland;B) für den gesamten Luftraum G in Österreich;C) für den gesamten Luftraum G in Deutschland;D) für den Luftraum G in Deutschland und den Luftraum G unterhalb von 900 m MSL bzw. 300 m GND in Österreich;1;0;Luftraumvorschriften G und E, Sichtflugregeln 2;0
1) Welches ist die Untergrenze einer Kontrollzone?;A) 1.000ft AGL;B) MSL;C) 2.500 ft AGL;D) GND;4;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
2) Kontrollzonen sind festgelegt;A) für den Flugnavigationsdienst;B) zum Schutz des Start- und Landeverkehrs;C) für den Flugberatungsdienst;D) zur Kontrolle der Flugdokumente;2;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
3) Wie lautet die Abkürzung für die Kontrollzone?;A) CTR;B) TMA;C) CTA;D) TRA;1;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
4) Darf ohne Zustimmung der Flugsicherung in eine CTR eingeflogen werden?;A) Ja, wenn die CTR nicht aktiv ist;B) Ja, wenn das Pilot mit Funk ausgerüstet ist;C) Nein;D) Ja, wenn der Gleitschirm oder Drachen gekennzeichnet ist;3;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
5) Eine Kontrollzone;A) kann unter 2.500 ft AGL reichen;B) hat ihre Untergrenze immer bei 1.700 ft AGL;C) reicht immer bis zum Boden;D) hat eine auf MSL bezogene Untergrenze;3;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
6) Das militärische Tieffluggebiet in Deutschland;A) ist in der ICAO-Luftfahrtkarte eingezeichnet.;B) ist in der AIP kartenmäßig dargestellt.;C) erstreckt sich nahezu über ganz Deutschland.;D) ist in der LuftVO definiert.;3;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
7) Militärische Tiefflüge;A) finden überwiegend im Höhenband zwischen 1.000 und 2.000 ft AGL statt;B) können auch in nicht gekennzeichneten Gebieten bis in eine Höhe von 500 ft AGL durchgeführt werden;C) werden überwiegend bei Tag nach VFR durchgeführt;D) Alle Antworten sind richtig;4;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
8) Von Montag bis Freitag ist in Deutschland mit vermehrten Tiefflügen von Militärflugzeugen zu rechnen;A) im Höhenband von 1.000 - 3.000 ft GND;B) im Höhenband zwischen 1.000 - 2.000 ft GND;C) in Flugfläche 50;D) nur in den speziell ausgewiesenen Tieffluggebieten;2;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
9) Militärische Tiefflüge;A) sind nicht an feste Strecken und Höhen gebunden;B) finden im Allgemeinen an Werktagen statt;C) finden überwiegend im Luftraum unterhalb 2000 ft GND statt;D) Alle Antworten sind richtig;4;0;Luftraumvorschriften CTR, militärischer Tiefflug;0
1) Lufträume mit der Bezeichnung HX sind;A) nur bei Sichtflugbedingungen benutzbar.;B) an den Werktagen meist nicht aktiv.;C) für Gleitschirme und Hängegleiter ohne Funk auch am Wochenende verboten.;D) jederzeit aktivierbar.;4;0;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
2) Abbildung 1: Was bedeutet die Bezeichnung ED-D auf den ICAO-Luftfahrtkarten für Deutschland?;A) Europa-Deutschland-Luftraum D;B) Europa-Deutschland-CTR;C) Europa-Deutschland-Danger Area;D) Europa-Deutschland-Restricted Area;3;1;Beschränkungs- und Gefahrengebiete, Zusatz-Bezeichnungen;0
